port,hits
37238.0,7
30872.0,8
37250.0,8
4010.0,61
8700.0,22
16040.0,7
46276.0,10
50176.0,3
3200.0,9
39529.0,2
38383.0,9
8708.0,20
30666.0,10
39487.0,3
35900.0,8
2096.0,289
30774.0,8
22252.0,5
8705.0,19
8706.0,16
37418.0,9
42310.0,4
38638.0,8
57673.0,5
9627.0,22
8703.0,12
39134.0,5
30812.0,17
30694.0,17
30646.0,18
39232.0,5
39242.0,6
39246.0,5
30988.0,17
1688.0,15
30735.0,11
30643.0,8
8911.0,22
30771.0,9
39672.0,6
30849.0,16
27914.0,4
53573.0,3
4145.0,832
30652.0,10
18444.0,54
30914.0,8
6387.0,18
39777.0,2
33584.0,7
41102.0,9
60001.0,722
51002.0,54
6510.0,33
30698.0,9
33556.0,4
33572.0,5
36654.0,7
30803.0,16
57095.0,1
39779.0,3
46620.0,13
2083.0,344
34870.0,9
1024.0,540
39136.0,6
56218.0,4
56234.0,5
30560.0,7
7904.0,18
30578.0,8
999.0,77
1411.0,9
9080.0,283
35344.0,9
40348.0,11
30978.0,17
30810.0,18
30569.0,15
30738.0,19
30594.0,8
5013.0,44
58930.0,12
54402.0,7
2006.0,31
43882.0,10
36055.0,2
31258.0,92
32809.0,6
38034.0,26
58750.0,7
4016.0,44
53273.0,3
30935.0,8
36261.0,1
30719.0,11
12654.0,97
8764.0,21
5657.0,29
43104.0,2
43118.0,6
30801.0,14
39229.0,3
30678.0,16
63000.0,10
5655.0,20
30851.0,19
30825.0,17
59232.0,4
24551.0,4
55902.0,13
55894.0,5
55898.0,4
44018.0,4
56687.0,4
59640.0,6
6002.0,152
37486.0,9
58996.0,52
26527.0,4
41348.0,5
56726.0,5
33610.0,9
33594.0,5
41773.0,3
39895.0,3
3399.0,101
30918.0,8
30822.0,17
30922.0,21
30573.0,11
30548.0,8
30679.0,16
30766.0,12
35662.0,3
30526.0,7
8238.0,29
6224.0,25
30773.0,16
222.0,221
8094.0,223
9092.0,354
61273.0,3
11222.0,35
25750.0,4
30614.0,10
30557.0,8
8989.0,433
53444.0,7
53454.0,5
9032.0,38
39473.0,4
58564.0,9
8412.0,41
3483.0,2
39072.0,12
30850.0,8
39244.0,8
6379.0,1928
11033.0,18
2052.0,149
30969.0,8
1978.0,19
33354.0,4
33368.0,5
43073.0,3
18500.0,2
36163.0,1
17001.0,487
5080.0,178
30621.0,8
10004.0,45
30784.0,9
4200.0,120
783.0,4
10020.0,32
2223.0,86
40373.0,2
9608.0,76
30681.0,14
55652.0,9
55668.0,9
30891.0,20
30677.0,16
30515.0,15
4949.0,65
30534.0,8
