port,hits
28629.0,7.0
28661.0,11.0
28934.0,2.0
29260.0,10.0
29521.0,10.0
29840.0,3.0
30005.0,5.0
30012.0,10.0
30022.0,7.0
30080.0,10.0
30091.0,2.0
30122.0,11.0
30313.0,21.0
30325.0,5.0
30617.0,10.0
30845.0,15.0
30900.0,10.0
31258.0,3.0
31674.0,10.0
31722.0,10.0
32764.0,12.0
33034.0,2.0
33056.0,20.0
33063.0,2.0
33164.0,6.0
33189.0,10.0
33379.0,38.0
33381.0,10.0
33389.0,11.0
33402.0,10.0
33490.0,4.0
33506.0,4.0
33576.0,5.0
33589.0,10.0
33592.0,5.0
33900.0,9.0
34047.0,12.0
34068.0,5.0
34434.0,5.0
34675.0,10.0
34804.0,5.0
35006.0,5.0
35008.0,5.0
35022.0,5.0
35024.0,5.0
35187.0,9.0
35253.0,10.0
35299.0,10.0
35410.0,6.0
35532.0,5.0
35536.0,5.0
35550.0,5.0
35755.0,10.0
35769.0,3.0
35815.0,8.0
35872.0,5.0
36062.0,5.0
36160.0,1.0
36170.0,2.0
36920.0,6.0
36926.0,1.0
37085.0,11.0
37180.0,1.0
37192.0,1.0
37194.0,1.0
37215.0,10.0
37240.0,5.0
37248.0,5.0
37328.0,10.0
37534.0,4.0
37874.0,1.0
38194.0,1.0
38229.0,8.0
38311.0,5.0
38645.0,10.0
38746.0,5.0
38841.0,10.0
38853.0,7.0
39008.0,5.0
39010.0,5.0
39088.0,4.0
39342.0,5.0
39518.0,2.0
39524.0,2.0
39628.0,6.0
39683.0,2.0
39760.0,1.0
39912.0,5.0
39926.0,5.0
40084.0,5.0
40098.0,5.0
40194.0,1.0
40200.0,1.0
40203.0,8.0
40541.0,10.0
40550.0,16.0
40621.0,10.0
40622.0,5.0
40628.0,5.0
40634.0,5.0
40725.0,9.0
40844.0,2.0
40900.0,10.0
41184.0,10.0
41443.0,10.0
41536.0,5.0
41548.0,5.0
41558.0,5.0
41600.0,10.0
42129.0,3.0
42462.0,11.0
42592.0,5.0
42694.0,8.0
42864.0,1.0
42894.0,4.0
42938.0,5.0
42944.0,10.0
43009.0,10.0
43053.0,21.0
43098.0,5.0
43236.0,10.0
